tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,icon
19.3,6.6,12.7,19.3,5.2,12.4,3.6,55.56,0.0,0.0,0.0,0.0,37.1,25.6,227.9,1022.2,54.9,16.0,285.5,15.4,7,0.02,partly-cloudy-day
13.3,3.3,7.0,13.3,-0.3,4.0,4.2,83.09,8.01,45.83,0.0,0.0,49.6,34.7,188.0,1013.7,87.5,10.4,48.8,2.3,1,0.05,rain
5.0,2.2,3.6,4.3,-1.9,0.2,1.8,87.8,1.54,8.33,0.0,0.0,34.4,27.2,111.0,1007.3,94.0,13.2,67.6,3.4,2,0.08,rain
8.3,3.3,5.3,4.8,-1.5,1.3,-2.2,61.28,0.29,8.33,0.0,0.0,48.0,31.6,299.7,1009.1,74.1,16.0,250.0,13.5,7,0.13,rain
10.0,1.7,6.1,10.0,-3.6,3.1,-5.6,44.03,0.0,0.0,0.0,0.0,37.1,25.6,230.8,1022.2,50.3,16.0,368.4,19.9,8,0.18,partly-cloudy-day
12.2,5.5,9.1,12.2,2.3,8.1,2.4,63.88,0.0,0.0,0.0,0.0,53.6,27.4,187.6,1025.2,80.6,16.0,82.7,4.2,2,0.23,partly-cloudy-day
23.8,12.8,17.6,23.8,12.8,17.6,13.1,76.38,9.95,45.83,0.0,0.0,53.6,33.2,211.7,1016.3,58.0,14.7,211.1,11.4,8,0.29,rain
17.8,10.1,14.1,17.8,10.1,14.1,8.2,69.85,0.66,12.5,0.0,0.0,33.5,29.2,151.2,1012.2,76.6,15.2,270.8,13.6,7,0.35,rain
20.6,8.3,13.3,20.6,4.4,12.6,8.9,76.4,18.16,50.0,0.0,0.0,62.8,42.0,185.1,994.5,58.3,11.0,168.1,9.1,7,0.4,rain
16.1,6.1,10.4,16.1,0.9,8.0,-4.6,36.02,0.0,0.0,0.0,0.0,64.4,44.0,301.9,1008.7,30.1,16.0,420.4,22.7,9,0.44,wind
